,E,G,OBJ,Success
0,0.1543763592913742,0.5147181798211332,0.5598560853114237,1.0
0,0.1643763592913742,0.5147181798211332,30.0,0.0
0,0.1543763592913742,0.5247181798211332,0.608715758817939,1.0
0,0.15442984660976183,0.5148757489084577,0.5596154686818444,1.0
0,0.16442984660976184,0.5148757489084577,30.0,0.0
0,0.15442984660976183,0.5248757489084577,0.6082300432248707,1.0
0,0.15444112627335893,0.5149089778373308,0.5595649117088355,1.0
0,0.16444112627335894,0.5149089778373308,30.0,0.0
0,0.15444112627335893,0.5249089778373308,0.6081279680935767,1.0
0,0.15444350501966408,0.5149159854214755,0.5595542729242462,1.0
0,0.1644435050196641,0.5149159854214755,30.0,0.0
0,0.15444350501966408,0.5249159854214756,0.608106416904583,1.0
0,0.15444400667190236,0.5149174632462707,0.5595520206547873,1.0
0,0.16444400667190237,0.5149174632462707,30.0,0.0
0,0.15444400667190236,0.5249174632462708,0.6081018888373941,1.0
0,0.15444411246420667,0.5149177749013946,0.5595515617235819,1.0
0,0.16444411246420668,0.5149177749013946,30.0,0.0
0,0.15444411246420667,0.5249177749013946,0.6081008924603235,1.0
0,0.15444413477606622,0.5149178406302337,0.5595514724142775,1.0
0,0.16444413477606623,0.5149178406302337,30.0,0.0
0,0.15444413477606622,0.5249178406302337,0.6081006731097044,1.0
0,0.15444413948241975,0.5149178544947506,0.559551457831985,1.0
0,0.16444413948241976,0.5149178544947506,30.0,0.0
0,0.15444413948241975,0.5249178544947506,0.6081006355029215,1.0
0,0.1544441404755683,0.5149178574204817,0.5595514522132334,1.0
0,0.1644441404755683,0.5149178574204817,30.0,0.0
0,0.1544441404755683,0.5249178574204817,0.6081006259241595,1.0
0,0.15444414068489853,0.5149178580371508,0.5595514518107122,1.0
0,0.16444414068489854,0.5149178580371508,30.0,0.0
0,0.15444414068489853,0.5249178580371509,0.6081006255598591,1.0
0,0.15444414072909565,0.5149178581673517,0.559551450989765,1.0
0,0.16444414072909566,0.5149178581673517,30.0,0.0
0,0.15444414072909565,0.5249178581673517,0.6081006254339025,1.0
0,0.15444414073835608,0.5149178581946321,0.5595514509897679,1.0
0,0.1644441407383561,0.5149178581946321,30.0,0.0
0,0.15444414073835608,0.5249178581946321,0.6081006253858667,1.0
0,0.15444414074031304,0.5149178582003971,0.5595514509897659,1.0
0,0.16444414074031305,0.5149178582003971,30.0,0.0
0,0.15444414074031304,0.5249178582003972,0.6081006253858667,1.0
0,0.1544441407407266,0.5149178582016155,0.5595514509897679,1.0
0,0.1644441407407266,0.5149178582016155,30.0,0.0
0,0.1544441407407266,0.5249178582016155,0.6081006253858636,1.0
0,0.15444414074081397,0.514917858201873,0.5595514509897684,1.0
0,0.16444414074081398,0.514917858201873,30.0,0.0
0,0.15444414074081397,0.524917858201873,0.6081006253858687,1.0
0,0.15444414074083246,0.5149178582019274,0.559551450989755,1.0
0,0.16444414074083247,0.5149178582019274,30.0,0.0
0,0.15444414074083246,0.5249178582019274,0.608100625385879,1.0
