,E1,nu12,OBJ,Success
0,0.2125975200721561,0.34581899164622576,1.8155125823156957,1.0
0,0.2124975200721561,0.34591899164622575,1.815553269476155,1.0
0,0.1963728588863131,0.38743487923923803,1.8055790944021677,1.0
0,0.19647285888631308,0.38743487923923803,1.805287268369057,1.0
0,0.1963728588863131,0.387534879239238,1.8054504441835477,1.0
0,0.17085592896227786,0.4636804777079024,1.7870529942890743,1.0
0,0.17095592896227785,0.4636804777079024,1.7865786104500598,1.0
0,0.17085592896227786,0.46378047770790237,1.786876298605568,1.0
0,0.16573304020282703,0.49,1.7685973993326682,1.0
0,0.16583304020282702,0.49,1.7683626524106506,1.0
0,0.16573304020282703,0.4901,1.7684962861623352,1.0
0,0.16854255859347395,0.49,1.765029478040608,1.0
0,0.16864255859347393,0.49,1.7650142752337281,1.0
0,0.16854255859347395,0.4901,1.7649977251891709,1.0
0,0.1687371097682642,0.49,1.765006745738524,1.0
0,0.1688371097682642,0.49,1.7650061260972736,1.0
0,0.1687371097682642,0.4901,1.7649799230411716,1.0
0,0.16874537628160285,0.49,1.7650066537580111,1.0
0,0.16884537628160284,0.49,1.76500657484886,1.0
0,0.16874537628160285,0.4901,1.7649795658962242,1.0
0,0.1687465826156676,0.49,1.7650064238390522,1.0
0,0.1688465826156676,0.49,1.7650066325870712,1.0
0,0.1687465826156676,0.4901,1.7649797873811788,1.0
0,0.16874570719912188,0.49,1.7650066298613414,1.0
0,0.16884570719912187,0.49,1.7650064679220938,1.0
0,0.16874570719912188,0.4901,1.7649795182409718,1.0
0,0.16874658132427975,0.49,1.7650064373796066,1.0
0,0.16884658132427974,0.49,1.7650066275210345,1.0
0,0.16874658132427975,0.4901,1.7649797714166002,1.0
0,0.1687465826156676,0.49,1.7650064238390522,1.0
0,0.1688465826156676,0.49,1.7650066325870712,1.0
0,0.1687465826156676,0.4901,1.7649797873811788,1.0
0,0.1687457071991219,0.49,1.76500662986134,1.0
0,0.1688457071991219,0.49,1.7650064679220963,1.0
0,0.1687457071991219,0.4901,1.7649795182409789,1.0
0,0.16874658132427972,0.49,1.7650064373796022,1.0
0,0.1688465813242797,0.49,1.765006627521033,1.0
0,0.16874658132427972,0.4901,1.7649797714166011,1.0
0,0.16874658261562475,0.49,1.7650064238390568,1.0
0,0.16884658261562474,0.49,1.7650066325870721,1.0
0,0.16874658261562475,0.4901,1.7649797873811763,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566738,0.49,1.7650064238390533,1.0
0,0.16884658261566737,0.49,1.7650066325870712,1.0
0,0.16874658261566738,0.4901,1.7649797873811774,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.1687465826156674,0.49,1.7650064238390555,1.0
0,0.1688465826156674,0.49,1.7650066325870701,1.0
0,0.1687465826156674,0.4901,1.7649797873811757,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566744,0.49,1.765006423839056,1.0
0,0.16884658261566743,0.49,1.7650066325870712,1.0
0,0.16874658261566744,0.4901,1.7649797873811721,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
0,0.16874658261566747,0.49,1.7650064238390506,1.0
0,0.16884658261566746,0.49,1.7650066325870704,1.0
0,0.16874658261566747,0.4901,1.7649797873811788,1.0
